"topic"	"term"	"beta"
"1"	1	"гектор"	0.00373641618594732
"2"	1	"кошка"	0.00348621833229037
"3"	1	"сани"	0.00337419271865227
"4"	1	"ю"	0.0033158115649681
"5"	1	"пес"	0.00251431768741714
"6"	2	"царевна"	0.00577336686972885
"7"	2	"гнездо"	0.00432115772559114
"8"	2	"весна"	0.00420913137521456
"9"	2	"олень"	0.00404967493732223
"10"	2	"грач"	0.00353891376666657
"11"	3	"хаврюша"	0.00276835183894159
"12"	3	"больной"	0.00267043551024308
"13"	3	"деньги"	0.00265178521355565
"14"	3	"угол"	0.00240950822556557
"15"	3	"школа"	0.00214643321195842
"16"	4	"выдра"	0.00367470428857045
"17"	4	"крыло"	0.00296082953449785
"18"	4	"нора"	0.00272182821113063
"19"	4	"лед"	0.00240333791088278
"20"	4	"петч"	0.00237913546888215
"21"	5	"произносить"	0.00636803022670793
"22"	5	"сказка"	0.00379557096564133
"23"	5	"принц"	0.00276097298146708
"24"	5	"смеяться"	0.00271608754872214
"25"	5	"счастие"	0.00270657261163547
"26"	6	"ермак"	0.00653291641088167
"27"	6	"рыбка"	0.00457718641907187
"28"	6	"золотой"	0.00401959451033754
"29"	6	"слон"	0.00398919873518832
"30"	6	"братец"	0.00353866476372678
"31"	7	"боярин"	0.00509271255617475
"32"	7	"рыжий"	0.00261665313266559
"33"	7	"фритиоф"	0.00246761301674022
"34"	7	"государыня"	0.00245337467978015
"35"	7	"княгиня"	0.00235389876808731
"36"	8	"семилетка"	0.00463967163773178
"37"	8	"кочерга"	0.00401368419454575
"38"	8	"санька"	0.00379274744989185
"39"	8	"коренев"	0.00331405116980842
"40"	8	"старуха"	0.00296752989768323
"41"	9	"борт"	0.00460137226894945
"42"	9	"фалалей"	0.00437635337304109
"43"	9	"палуба"	0.00352724883543492
"44"	9	"корабль"	0.00340007003221016
"45"	9	"лодка"	0.00316258459731612
"46"	10	"аксена"	0.00346822724587709
"47"	10	"стемида"	0.00265217377625895
"48"	10	"аксен"	0.00253559470917064
"49"	10	"война"	0.00249540417613745
"50"	10	"вячко"	0.00218585750790573
