"doc_id"	"id"	"par_id"	"sent_n"	"group"
"1"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	1	7	"1"
"2"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	2	3	"1"
"3"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	3	3	"1"
"4"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	4	5	"1"
"5"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	5	1	"1"
"6"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	6	1	"2"
"7"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	7	1	"2"
"8"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	8	1	"2"
"9"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	9	1	"2"
"10"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	10	3	"3"
"11"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	11	1	"3"
"12"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	12	1	"3"
"13"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	13	1	"3"
"14"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	14	2	"4"
"15"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	15	1	"4"
"16"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	16	2	"4"
"17"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	17	1	"4"
"18"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	18	1	"4"
"19"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	19	5	"5"
"20"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	20	11	"5"
"21"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	21	2	"5"
"22"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	22	6	"5"
"23"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	23	1	"6"
"24"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	24	2	"6"
"25"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	25	1	"6"
"26"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	26	3	"6"
"27"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	27	2	"7"
"28"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	28	1	"7"
"29"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	29	1	"7"
"30"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	30	2	"7"
"31"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	31	7	"7"
"32"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	32	1	"8"
"33"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	33	1	"8"
"34"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	34	2	"8"
"35"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	35	1	"8"
"36"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	36	1	"9"
"37"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	37	1	"9"
"38"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	38	1	"9"
"39"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	39	1	"9"
"40"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	40	1	"10"
"41"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	41	1	"10"
"42"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	42	1	"10"
"43"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	43	1	"10"
"44"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	44	3	"10"
