"doc_id"	"id"	"par_id"	"sent_n"	"group"
"1"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	1	7	"1"
"2"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	2	3	"1"
"3"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	4	5	"1"
"4"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	6	1	"2"
"5"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	8	1	"2"
"6"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	10	3	"3"
"7"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	12	1	"3"
"8"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	13	1	"4"
"9"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	16	2	"4"
"10"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	19	5	"4"
"11"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	21	2	"5"
"12"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	22	6	"5"
"13"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	24	2	"6"
"14"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	26	3	"6"
"15"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	27	2	"7"
"16"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	29	1	"7"
"17"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	31	7	"7"
"18"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	34	2	"8"
"19"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	36	1	"8"
"20"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	38	1	"9"
"21"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	40	1	"9"
"22"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	42	1	"10"
"23"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	43	1	"10"
"24"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	44	3	"10"
