"doc_id"	"id"	"par_id"	"sent_gen"	"sent_loc"	"word_n"	"group"
"1"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	1	1	1	14	"1"
"2"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	1	2	2	18	"1"
"3"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	1	3	3	4	"1"
"4"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	1	4	4	1	"1"
"5"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	1	5	5	7	"1"
"6"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	1	6	6	1	"1"
"7"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	1	7	7	9	"1"
"8"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	2	8	1	9	"2"
"9"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	2	9	2	10	"2"
"10"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	2	10	3	13	"2"
"11"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	4	11	1	9	"2"
"12"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	4	12	2	23	"2"
"13"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	4	13	3	20	"2"
"14"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	4	14	4	21	"3"
"15"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	4	15	5	20	"3"
"16"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	6	16	1	16	"3"
"17"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	8	17	1	20	"3"
"18"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	10	18	1	27	"3"
"19"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	10	19	2	22	"3"
"20"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	10	20	3	5	"4"
"21"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	12	21	1	29	"4"
"22"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	13	22	1	4	"4"
"23"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	16	23	1	11	"4"
"24"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	16	24	2	19	"4"
"25"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	19	25	1	21	"4"
"26"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	19	26	2	14	"5"
"27"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	19	27	3	2	"5"
"28"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	19	28	4	21	"5"
"29"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	19	29	5	8	"5"
"30"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	21	30	1	12	"5"
"31"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	21	31	2	29	"5"
"32"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	22	32	1	7	"6"
"33"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	22	33	2	41	"6"
"34"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	22	34	3	24	"6"
"35"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	22	35	4	11	"6"
"36"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	22	36	5	38	"6"
"37"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	22	37	6	10	"6"
"38"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	24	38	1	30	"7"
"39"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	24	39	2	23	"7"
"40"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	26	40	1	8	"7"
"41"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	26	41	2	32	"7"
"42"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	26	42	3	29	"7"
"43"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	27	43	1	7	"7"
"44"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	27	44	2	18	"8"
"45"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	29	45	1	15	"8"
"46"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	31	46	1	10	"8"
"47"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	31	47	2	31	"8"
"48"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	31	48	3	8	"8"
"49"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	31	49	4	10	"8"
"50"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	31	50	5	19	"9"
"51"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	31	51	6	18	"9"
"52"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	31	52	7	7	"9"
"53"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	34	53	1	29	"9"
"54"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	34	54	2	7	"9"
"55"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	36	55	1	8	"9"
"56"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	38	56	1	2	"10"
"57"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	40	57	1	6	"10"
"58"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	42	58	1	24	"10"
"59"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	43	59	1	25	"10"
"60"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	44	60	1	20	"10"
"61"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	44	61	2	9	"10"
"62"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	44	62	3	22	"10"
