"doc_id"	"id"	"par_id"	"sent_gen"	"sent_loc"	"word_n"	"group"
"1"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	1	1	1	14	"1"
"2"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	1	2	2	18	"1"
"3"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	1	3	3	4	"1"
"4"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	1	4	4	1	"1"
"5"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	1	5	5	7	"1"
"6"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	1	6	6	1	"1"
"7"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	1	7	7	9	"1"
"8"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	2	8	1	9	"1"
"9"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	2	9	2	10	"1"
"10"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	2	10	3	13	"1"
"11"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	3	63	1	8	"2"
"12"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	3	64	2	14	"2"
"13"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	3	65	3	3	"2"
"14"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	4	11	1	9	"2"
"15"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	4	12	2	23	"2"
"16"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	4	13	3	20	"2"
"17"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	4	14	4	21	"2"
"18"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	4	15	5	20	"2"
"19"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	5	66	1	4	"2"
"20"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	6	16	1	16	"2"
"21"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	7	67	1	4	"3"
"22"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	8	17	1	20	"3"
"23"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	9	68	1	4	"3"
"24"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	10	18	1	27	"3"
"25"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	10	19	2	22	"3"
"26"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	10	20	3	5	"3"
"27"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	11	69	1	30	"3"
"28"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	12	21	1	29	"3"
"29"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	13	22	1	4	"3"
"30"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	14	70	1	15	"4"
"31"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	14	71	2	14	"4"
"32"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	15	72	1	21	"4"
"33"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	16	23	1	11	"4"
"34"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	16	24	2	19	"4"
"35"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	17	73	1	14	"4"
"36"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	18	74	1	24	"4"
"37"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	19	25	1	21	"4"
"38"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	19	26	2	14	"4"
"39"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	19	27	3	2	"4"
"40"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	19	28	4	21	"5"
"41"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	19	29	5	8	"5"
"42"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	20	75	1	23	"5"
"43"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	20	76	2	5	"5"
"44"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	20	77	3	8	"5"
"45"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	20	78	4	7	"5"
"46"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	20	79	5	5	"5"
"47"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	20	80	6	23	"5"
"48"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	20	81	7	16	"5"
"49"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	20	82	8	16	"6"
"50"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	20	83	9	8	"6"
"51"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	20	84	10	12	"6"
"52"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	20	85	11	22	"6"
"53"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	21	30	1	12	"6"
"54"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	21	31	2	29	"6"
"55"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	22	32	1	7	"6"
"56"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	22	33	2	41	"6"
"57"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	22	34	3	24	"6"
"58"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	22	35	4	11	"6"
"59"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	22	36	5	38	"7"
"60"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	22	37	6	10	"7"
"61"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	23	86	1	11	"7"
"62"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	24	38	1	30	"7"
"63"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	24	39	2	23	"7"
"64"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	25	87	1	8	"7"
"65"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	26	40	1	8	"7"
"66"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	26	41	2	32	"7"
"67"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	26	42	3	29	"7"
"68"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	27	43	1	7	"8"
"69"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	27	44	2	18	"8"
"70"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	28	88	1	5	"8"
"71"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	29	45	1	15	"8"
"72"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	30	89	1	32	"8"
"73"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	30	90	2	9	"8"
"74"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	31	46	1	10	"8"
"75"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	31	47	2	31	"8"
"76"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	31	48	3	8	"8"
"77"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	31	49	4	10	"8"
"78"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	31	50	5	19	"9"
"79"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	31	51	6	18	"9"
"80"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	31	52	7	7	"9"
"81"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	32	91	1	4	"9"
"82"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	33	92	1	17	"9"
"83"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	34	53	1	29	"9"
"84"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	34	54	2	7	"9"
"85"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	35	93	1	5	"9"
"86"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	36	55	1	8	"9"
"87"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	37	94	1	13	"10"
"88"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	38	56	1	2	"10"
"89"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	39	95	1	7	"10"
"90"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	40	57	1	6	"10"
"91"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	41	96	1	19	"10"
"92"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	42	58	1	24	"10"
"93"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	43	59	1	25	"10"
"94"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	44	60	1	20	"10"
"95"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	44	61	2	9	"10"
"96"	"Алчевская_Х.Д_Аленушка_и_Вераша_1915.txt"	313	44	62	3	22	"10"
