"doc_id"	"id"	"par_id"	"sent_n"	"group"
"1"	"alekseev_g_raketa_petushkova_1924.txt"	208	1	2	"1"
"2"	"alekseev_g_raketa_petushkova_1924.txt"	208	2	6	"1"
"3"	"alekseev_g_raketa_petushkova_1924.txt"	208	6	4	"1"
"4"	"alekseev_g_raketa_petushkova_1924.txt"	208	7	1	"1"
"5"	"alekseev_g_raketa_petushkova_1924.txt"	208	9	1	"1"
"6"	"alekseev_g_raketa_petushkova_1924.txt"	208	10	1	"2"
"7"	"alekseev_g_raketa_petushkova_1924.txt"	208	11	2	"2"
"8"	"alekseev_g_raketa_petushkova_1924.txt"	208	15	1	"2"
"9"	"alekseev_g_raketa_petushkova_1924.txt"	208	21	4	"2"
"10"	"alekseev_g_raketa_petushkova_1924.txt"	208	23	4	"3"
"11"	"alekseev_g_raketa_petushkova_1924.txt"	208	28	9	"3"
"12"	"alekseev_g_raketa_petushkova_1924.txt"	208	29	3	"3"
"13"	"alekseev_g_raketa_petushkova_1924.txt"	208	31	1	"3"
"14"	"alekseev_g_raketa_petushkova_1924.txt"	208	33	1	"4"
"15"	"alekseev_g_raketa_petushkova_1924.txt"	208	34	2	"4"
"16"	"alekseev_g_raketa_petushkova_1924.txt"	208	35	1	"4"
"17"	"alekseev_g_raketa_petushkova_1924.txt"	208	36	1	"4"
"18"	"alekseev_g_raketa_petushkova_1924.txt"	208	38	3	"5"
"19"	"alekseev_g_raketa_petushkova_1924.txt"	208	40	5	"5"
"20"	"alekseev_g_raketa_petushkova_1924.txt"	208	41	14	"5"
"21"	"alekseev_g_raketa_petushkova_1924.txt"	208	42	3	"5"
"22"	"alekseev_g_raketa_petushkova_1924.txt"	208	47	1	"6"
"23"	"alekseev_g_raketa_petushkova_1924.txt"	208	48	2	"6"
"24"	"alekseev_g_raketa_petushkova_1924.txt"	208	50	2	"6"
"25"	"alekseev_g_raketa_petushkova_1924.txt"	208	51	6	"6"
"26"	"alekseev_g_raketa_petushkova_1924.txt"	208	52	8	"7"
"27"	"alekseev_g_raketa_petushkova_1924.txt"	208	53	5	"7"
"28"	"alekseev_g_raketa_petushkova_1924.txt"	208	55	2	"7"
"29"	"alekseev_g_raketa_petushkova_1924.txt"	208	56	1	"7"
"30"	"alekseev_g_raketa_petushkova_1924.txt"	208	57	2	"8"
"31"	"alekseev_g_raketa_petushkova_1924.txt"	208	59	2	"8"
"32"	"alekseev_g_raketa_petushkova_1924.txt"	208	60	3	"8"
"33"	"alekseev_g_raketa_petushkova_1924.txt"	208	61	1	"8"
"34"	"alekseev_g_raketa_petushkova_1924.txt"	208	62	1	"9"
"35"	"alekseev_g_raketa_petushkova_1924.txt"	208	63	2	"9"
"36"	"alekseev_g_raketa_petushkova_1924.txt"	208	64	3	"9"
"37"	"alekseev_g_raketa_petushkova_1924.txt"	208	65	4	"9"
"38"	"alekseev_g_raketa_petushkova_1924.txt"	208	68	1	"10"
"39"	"alekseev_g_raketa_petushkova_1924.txt"	208	70	3	"10"
"40"	"alekseev_g_raketa_petushkova_1924.txt"	208	71	2	"10"
"41"	"alekseev_g_raketa_petushkova_1924.txt"	208	72	1	"10"
"42"	"alekseev_g_raketa_petushkova_1924.txt"	208	73	1	"10"
