"doc_id"	"id"	"par_id"	"sent_gen"	"sent_loc"	"word_n"	"group"
"1"	"alekseev_g_raketa_petushkova_1924.txt"	208	1	1	1	24	"1"
"2"	"alekseev_g_raketa_petushkova_1924.txt"	208	1	2	2	55	"1"
"3"	"alekseev_g_raketa_petushkova_1924.txt"	208	2	3	1	34	"1"
"4"	"alekseev_g_raketa_petushkova_1924.txt"	208	2	4	2	23	"1"
"5"	"alekseev_g_raketa_petushkova_1924.txt"	208	2	5	3	3	"1"
"6"	"alekseev_g_raketa_petushkova_1924.txt"	208	2	6	4	20	"1"
"7"	"alekseev_g_raketa_petushkova_1924.txt"	208	2	7	5	39	"1"
"8"	"alekseev_g_raketa_petushkova_1924.txt"	208	2	8	6	52	"1"
"9"	"alekseev_g_raketa_petushkova_1924.txt"	208	6	9	1	13	"1"
"10"	"alekseev_g_raketa_petushkova_1924.txt"	208	6	10	2	16	"1"
"11"	"alekseev_g_raketa_petushkova_1924.txt"	208	6	11	3	7	"1"
"12"	"alekseev_g_raketa_petushkova_1924.txt"	208	6	12	4	24	"1"
"13"	"alekseev_g_raketa_petushkova_1924.txt"	208	7	13	1	12	"1"
"14"	"alekseev_g_raketa_petushkova_1924.txt"	208	9	14	1	9	"2"
"15"	"alekseev_g_raketa_petushkova_1924.txt"	208	10	15	1	7	"2"
"16"	"alekseev_g_raketa_petushkova_1924.txt"	208	11	16	1	23	"2"
"17"	"alekseev_g_raketa_petushkova_1924.txt"	208	11	17	2	8	"2"
"18"	"alekseev_g_raketa_petushkova_1924.txt"	208	15	18	1	9	"2"
"19"	"alekseev_g_raketa_petushkova_1924.txt"	208	21	19	1	47	"2"
"20"	"alekseev_g_raketa_petushkova_1924.txt"	208	21	20	2	4	"2"
"21"	"alekseev_g_raketa_petushkova_1924.txt"	208	21	21	3	18	"2"
"22"	"alekseev_g_raketa_petushkova_1924.txt"	208	21	22	4	26	"2"
"23"	"alekseev_g_raketa_petushkova_1924.txt"	208	23	23	1	45	"2"
"24"	"alekseev_g_raketa_petushkova_1924.txt"	208	23	24	2	54	"2"
"25"	"alekseev_g_raketa_petushkova_1924.txt"	208	23	25	3	10	"2"
"26"	"alekseev_g_raketa_petushkova_1924.txt"	208	23	26	4	44	"3"
"27"	"alekseev_g_raketa_petushkova_1924.txt"	208	28	27	1	8	"3"
"28"	"alekseev_g_raketa_petushkova_1924.txt"	208	28	28	2	10	"3"
"29"	"alekseev_g_raketa_petushkova_1924.txt"	208	28	29	3	8	"3"
"30"	"alekseev_g_raketa_petushkova_1924.txt"	208	28	30	4	4	"3"
"31"	"alekseev_g_raketa_petushkova_1924.txt"	208	28	31	5	20	"3"
"32"	"alekseev_g_raketa_petushkova_1924.txt"	208	28	32	6	26	"3"
"33"	"alekseev_g_raketa_petushkova_1924.txt"	208	28	33	7	36	"3"
"34"	"alekseev_g_raketa_petushkova_1924.txt"	208	28	34	8	14	"3"
"35"	"alekseev_g_raketa_petushkova_1924.txt"	208	28	35	9	12	"3"
